BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;ANZAHL_PERSONEN
4606;Stettfurt;2012;Bezirk Frauenfeld;2023;1250
4871;Wagenhausen;2012;Bezirk Frauenfeld;2023;1817
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2023;1441
4551;Aadorf;2014;Bezirk Münchwilen;2023;9437
4781;Wängi;2014;Bezirk Münchwilen;2023;4932
4891;Berg;2015;Bezirk Weinfelden;2023;3529
4901;Birwinken;2015;Bezirk Weinfelden;2023;1392
4911;Bürglen;2015;Bezirk Weinfelden;2023;4129
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2023;2069
4495;Hohentannen;2015;Bezirk Weinfelden;2023;663
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2023;3844
4941;Märstetten;2015;Bezirk Weinfelden;2023;2935
4461;Amriswil;2011;Bezirk Arbon;2023;14546
4401;Arbon;2011;Bezirk Arbon;2023;15708
4411;Egnach;2011;Bezirk Arbon;2023;4985
4421;Horn;2011;Bezirk Arbon;2023;3119
4436;Romanshorn;2011;Bezirk Arbon;2023;11587
4441;Salmsach;2011;Bezirk Arbon;2023;1578
4801;Berlingen;2012;Bezirk Frauenfeld;2023;948
4545;Diessenhofen;2012;Bezirk Frauenfeld;2023;4105
4806;Eschenz;2012;Bezirk Frauenfeld;2023;1893
4566;Frauenfeld;2012;Bezirk Frauenfeld;2023;26461
4590;Hüttlingen;2012;Bezirk Frauenfeld;2023;874
4821;Hüttwilen;2012;Bezirk Frauenfeld;2023;1746
4831;Müllheim;2012;Bezirk Frauenfeld;2023;3281
4601;Neunforn;2012;Bezirk Frauenfeld;2023;1111
4841;Pfyn;2012;Bezirk Frauenfeld;2023;2247
4546;Schlatt;2012;Bezirk Frauenfeld;2023;1876
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2023;1123
4641;Altnau;2013;Bezirk Kreuzlingen;2023;2348
4643;Bottighofen;2013;Bezirk Kreuzlingen;2023;2681
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2023;23074
4683;Lengwil;2013;Bezirk Kreuzlingen;2023;1772
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2023;3553
4846;Raperswilen;2013;Bezirk Kreuzlingen;2023;421
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2023;5311
4716;Bettwiesen;2014;Bezirk Münchwilen;2023;1319
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2023;3022
4726;Fischingen;2014;Bezirk Münchwilen;2023;2951
4746;Münchwilen;2014;Bezirk Münchwilen;2023;5874
4751;Rickenbach;2014;Bezirk Münchwilen;2023;3052
4881;Amlikon-Bissegg;2015;Bezirk Weinfelden;2023;1369
4476;Erlen;2015;Bezirk Weinfelden;2023;3919
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2023;889
4946;Weinfelden;2015;Bezirk Weinfelden;2023;12142
4951;Wigoltingen;2015;Bezirk Weinfelden;2023;2642
4406;Dozwil;2011;Bezirk Arbon;2023;723
4426;Kesswil;2011;Bezirk Arbon;2023;995
4431;Roggwil;2011;Bezirk Arbon;2023;3375
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2023;1832
4811;Herdern;2012;Bezirk Frauenfeld;2023;1150
4816;Homburg;2012;Bezirk Frauenfeld;2023;1567
4591;Matzingen;2012;Bezirk Frauenfeld;2023;3096
4611;Thundorf;2012;Bezirk Frauenfeld;2023;1664
4646;Ermatingen;2013;Bezirk Kreuzlingen;2023;3745
4651;Gottlieben;2013;Bezirk Kreuzlingen;2023;337
4656;Güttingen;2013;Bezirk Kreuzlingen;2023;1703
4666;Kemmental;2013;Bezirk Kreuzlingen;2023;2774
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2023;1476
4851;Salenstein;2013;Bezirk Kreuzlingen;2023;1453
4701;Wäldi;2013;Bezirk Kreuzlingen;2023;1150
4723;Braunau;2014;Bezirk Münchwilen;2023;858
4724;Eschlikon;2014;Bezirk Münchwilen;2023;4864
4741;Lommis;2014;Bezirk Münchwilen;2023;1267
4761;Sirnach;2014;Bezirk Münchwilen;2023;8069
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2023;1637
4786;Wilen;2014;Bezirk Münchwilen;2023;2501
4711;Affeltrangen;2015;Bezirk Weinfelden;2023;2824
4471;Bischofszell;2015;Bezirk Weinfelden;2023;6255
4921;Bussnang;2015;Bezirk Weinfelden;2023;2568
4506;Sulgen;2015;Bezirk Weinfelden;2023;4036
4791;Wuppenau;2015;Bezirk Weinfelden;2023;1190
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2023;2586
4461;Amriswil;2011;Bezirk Arbon;2022;14273
4401;Arbon;2011;Bezirk Arbon;2022;15413
4441;Salmsach;2011;Bezirk Arbon;2022;1562
4446;Sommeri;2011;Bezirk Arbon;2022;649
4451;Uttwil;2011;Bezirk Arbon;2022;1911
4801;Berlingen;2012;Bezirk Frauenfeld;2022;928
4566;Frauenfeld;2012;Bezirk Frauenfeld;2022;25990
4811;Herdern;2012;Bezirk Frauenfeld;2022;1126
4816;Homburg;2012;Bezirk Frauenfeld;2022;1574
4831;Müllheim;2012;Bezirk Frauenfeld;2022;3206
4864;Steckborn;2012;Bezirk Frauenfeld;2022;3989
4606;Stettfurt;2012;Bezirk Frauenfeld;2022;1237
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2022;1401
4641;Altnau;2013;Bezirk Kreuzlingen;2022;2347
4646;Ermatingen;2013;Bezirk Kreuzlingen;2022;3764
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2022;1441
